study_id,reference,title,year,intervention_category,intervention_technique,type_experiment,environmental_context,economic_cost,cultural_meaning,behavior_scrutiny,suitable_for_longitudinal,control_group_scenario_prompt,intervention_group_scenario_prompt,response_instruction,response_options,n_study,n_comparison,n_control,n_intervention,binary_outcome,mean_control,sd_control,mean_intervention,sd_intervention,effect_size,effect_label,variance_d,ci_lower,ci_upper,gpt35_llm_mean_control,gpt35_llm_mean_intervention,gpt35_llm_std_control,gpt35_llm_std_intervention,gpt35_llm_effect_size,gpt35_llm_p_value,gpt35_llm_variance_d,gpt35_llm_ci_lower,gpt35_llm_ci_upper,deepseekv3_llm_mean_control,deepseekv3_llm_mean_intervention,deepseekv3_llm_std_control,deepseekv3_llm_std_intervention,deepseekv3_llm_effect_size,deepseekv3_llm_p_value,deepseekv3_llm_variance_d,deepseekv3_llm_ci_lower,deepseekv3_llm_ci_upper,claudehaiku45_llm_mean_control,claudehaiku45_llm_mean_intervention,claudehaiku45_llm_std_control,claudehaiku45_llm_std_intervention,claudehaiku45_llm_effect_size,claudehaiku45_llm_p_value,claudehaiku45_llm_variance_d,claudehaiku45_llm_ci_lower,claudehaiku45_llm_ci_upper,gpt4o_llm_mean_control,gpt4o_llm_mean_intervention,gpt4o_llm_std_control,gpt4o_llm_std_intervention,gpt4o_llm_effect_size,gpt4o_llm_p_value,gpt4o_llm_variance_d,gpt4o_llm_ci_lower,gpt4o_llm_ci_upper,deepseekv4flash_llm_mean_control,deepseekv4flash_llm_mean_intervention,deepseekv4flash_llm_std_control,deepseekv4flash_llm_std_intervention,deepseekv4flash_llm_effect_size,deepseekv4flash_llm_p_value,deepseekv4flash_llm_variance_d,deepseekv4flash_llm_ci_lower,deepseekv4flash_llm_ci_upper,gpt54_llm_mean_control,gpt54_llm_mean_intervention,gpt54_llm_std_control,gpt54_llm_std_intervention,gpt54_llm_effect_size,gpt54_llm_p_value,gpt54_llm_variance_d,gpt54_llm_ci_lower,gpt54_llm_ci_upper
Arana_1,Arana & Leon (2012),Can defaults save the climate? Evidence from a field experiment on carbon offsetting programs,2012,structure,default,natural_field,Green transportation,low,high,medium,1,"You are registering for a professional conference in Gran Canaria. During registration, you are informed that travel to the event contributes to global greenhouse gas emissions. You have the option to add a small carbon offset contribution to your conference fee. This supports verified environmental projects such as reforestation and clean energy. If you want to participate, you can check a box to add. The future is built by choices we make today — join us in supporting a greener planet.","You are registering for a professional conference in Gran Canaria. During registration, you are informed that travel to the event contributes to global greenhouse gas emissions. Your registration fee already includes a small carbon offset contribution that helps fund verified environmental projects like forest protection and renewable energy. If you prefer not to support the carbon offset program, you may uncheck the contribution. The future is built by choices we make today — thank you for joining us in building a more sustainable world.",Would you like to add the carbon offset contribution to your registration?,"Yes, I want to support climate action. (1); No, I prefer not to contribute. (0)",1680,1680,856,824,1,0.45,,0.57,,0.2406,1,0.0024,0.1445817664728938,0.3366182335271062,0.74,0.84,0.443087497693452,0.37032803990902047,0.2471079222553323,0.3260716534380775,0.002399989843158864,0.15108989190384609,0.3431259526068185,0.76,0.88,0.43141911058689997,0.32826072265931605,0.31646216431960994,0.19310514732687212,0.002411622574172109,0.2202117159583762,0.4127126126808437,0.5,0.66,0.5050762722761054,0.47851812069840666,0.3257294872946299,0.15611149296004487,0.002413393823412398,0.22944369919090052,0.4220152753983593,0.8,0.9,0.4040610178208843,0.3030457633656632,0.28379410920832804,0.2626182904425174,0.00240578650124815,0.1876601933621161,0.37992802505454,0.54,0.7,0.5034574339058886,0.4629100498862757,0.331431266033829,0.1492600973015218,0.0024145089975825063,0.2351232347674354,0.4277392973002226,0.52,0.6,0.5046720495044485,0.4948716593053935,0.16134724643634168,0.5455995223759658,0.0023895644290788764,0.06553799138390966,0.2571565014887737
Bamberg_1,Bamberg (2002),Effects of implementation intention on the actual performance of new environmentally friendly behaviours - Results of two field experiments,2002,assistance,commitment,conventional_lab,Green transportation,medium,medium,medium,1,"You are taking part in a test of a new university circular bus route. You receive a test ticket and are asked to make one trip on the route within the next seven days. After the trip, you are to return the cancelled ticket together with the completed test protocol.","You are taking part in a test of a new university circular bus route. You receive a test ticket and are asked to make one trip on the route within the next seven days. After the trip, you are to return the cancelled ticket together with the completed test protocol. Before the seven-day period begins, decide and write down the exact day, time, and boarding stop for your trip.","At the end of the seven-day period, did you make the bus trip and return the cancelled ticket with the completed test protocol?","Yes, I did (1); No, I did not (0)",90,90,45,45,1,0.311,,0.533,,0.4541,1,0.0456,0.035566223318055,0.872633776681945,0.72,0.74,0.45355736761107274,0.44308749769345207,0.04505603900876487,1.0,0.04445572248139533,-0.36819307140344915,0.4583051494209789,0.96,0.98,0.1979486637221575,0.14142135623730945,0.11892173237233461,1.0,0.04452301321350243,-0.294640018558394,0.5324834833030632,1.0,0.5,0.0,0.5050762722761054,-1.5707963267948963,2.980768140451168e-08,0.05815222833484633,-2.043437195192789,-1.0981554583970035,0.86,0.22,0.35050983275386544,0.4184519575964803,-1.3981881189340921,4.97358524670906e-10,0.055305166755158085,-1.8591138403486835,-0.9372623975195007,0.74,0.76,0.4430874976934521,0.4314191105869001,0.04619623829135566,1.0,0.044456300513512625,-0.3670555587320352,0.45944803531474654,0.62,0.9,0.4903143514780145,0.30304576336566297,0.6849293669626488,0.0023352973555886415,0.04705071243182142,0.2597901259001904,1.1100686080251072
Bamberg_2,Bamberg (2002),Effects of implementation intention on the actual performance of new environmentally friendly behaviours - Results of two field experiments,2002,assistance,commitment,conventional_lab,Green purchasing,medium,medium,medium,1,A research assistant tells you about a local organic food shop called Klatschmohn. You are asked to act as a test buyer and to buy organic food at least once within the next 7 days at this shop. You will receive a voucher worth 2.5 Euros that can be used when making the purchase.,"A research assistant tells you about a local organic food shop called Klatschmohn. You are asked to act as a test buyer and to buy organic food at least once within the next 7 days at this shop. You will receive a voucher worth 2.5 Euros that can be used when making the purchase. From experience, people are more likely to follow through on their intention if they decide in advance exactly when they will act. Please think about the exact day and time within the next 7 days when you will go to the shop.",Did you actually redeem your voucher and send back the test protocol after buying something at the bio-shop within the next 7 days?,"Yes (1), No (0)",159,159,79,80,1,0.342,,0.5,,0.3215,1,0.0255,0.0085188505233898,0.6344811494766102,0.04,0.06,0.19794866372215741,0.23989793748209529,0.09221828476023392,1.0,0.025184970653271452,-0.21882355754547955,0.4032601270659474,0.88,0.96,0.32826072265931605,0.1979486637221575,0.30476737019868105,0.2688067435476623,0.02545031322526422,-0.007908708561142841,0.617443448958505,0.38,0.44,0.49031435147801444,0.5014265364224069,0.12207596864417525,0.6842710628142243,0.025205091188102564,-0.18909009613625088,0.4332420334246014,0.76,0.8,0.4314191105869001,0.4040610178208843,0.09665015809734046,0.8092433498507495,0.025187602857724662,-0.21440793803575647,0.4077082542304374,0.58,0.62,0.49856938190328975,0.4903143514780145,0.08167519808705292,0.8382564863858257,0.025179205326033842,-0.22933104043198582,0.39268143660609167,0.28,0.38,0.4535573676110727,0.4903143514780145,0.21323282235686003,0.39494779166723404,0.025301209723982625,-0.09852598709112498,0.5249916318048451
Bamberg_3,Bamberg (2002),Effects of implementation intention on the actual performance of new environmentally friendly behaviours - Results of two field experiments,2002,assistance,commitment,conventional_lab,Green purchasing,medium,medium,medium,1,"A research assistant invites you to be a test buyer at a local organic food shop called Klatschmohn. You receive a €7.50 voucher and are asked to use it to buy something at the shop once within the next seven days, then return the completed test protocol.","A research assistant invites you to be a test buyer at a local organic food shop called Klatschmohn. You receive a €7.50 voucher and are asked to use it to buy something at the shop once within the next seven days, then return the completed test protocol. Before the seven-day period begins, decide and write down the exact day and time when you will go to the shop.","At the end of the seven-day period, did you use the voucher to make a purchase at Klatschmohn and return the completed test protocol?","Yes, I did (1); No, I did not (0)",160,160,81,79,1,0.543,,0.608,,0.1316,1,0.0251,-0.1789166926260528,0.4421166926260528,0.96,0.94,0.1979486637221575,0.23989793748209529,-0.09221828476023397,1.0,0.025030482523084818,-0.40230467252102287,0.21786810300055492,1.0,1.0,0.0,0.0,0.0,1.0,0.025003906860446946,-0.3099217297332962,0.3099217297332962,0.98,0.6,0.1414213562373095,0.50709255283711,-1.0856442967962385,0.00022501882127785164,0.028687105420341318,-1.4176086535533343,-0.7536799400391427,0.96,0.54,0.1979486637221575,0.5034574339058886,-1.0879949051805757,3.8596164369284525e-06,0.028703072215755975,-1.4200516321779915,-0.75593817818316,1.0,1.0,0.0,0.0,0.0,1.0,0.025003906860446946,-0.3099217297332962,0.3099217297332962,1.0,1.0,0.0,0.0,0.0,1.0,0.025003906860446946,-0.3099217297332962,0.3099217297332962
Bohm_1,Bohm et al. (2016),Outcome valence and externality valence framing in public good dilemmas,2016,information,translation,conventional_lab,Environmental donation,medium,high,high,1,"Our city is at a moderate level in environmental ratings (currently scoring 0), but we can do better. If everyone donates, the environmental score will increase by 50 points, making the city greener. Your donation will be doubled by the government, doubling its impact. Now is our opportunity to improve the urban environment together.","Our city's environmental rating is lower than the national average (current score -50) and urgently needs improvement. If everyone donates, the environmental score will increase by 50 points and the city will return to green standards. Your donation will be doubled by the government, doubling its impact. This isn’t just about numbers — it’s about your neighborhood, your health, your children's future. Together, we can turn things around — but only if we act now.",How much money would you like to contribute to improve environmental friendliness in your city?,Please output any amount from 0 to 100 Euros (continuous scale).,167,167,84,83,0,50.86,34.19,60.96,35.24,0.2909,1,0.0242,-0.0139988413569291,0.5957988413569291,22.1,22.9,9.372669778430804,10.355418575680604,0.08100219620698318,0.6863608719778798,0.023972599453661675,-0.22246073995859839,0.38446513237256474,21.3,26.9,10.292160678330447,14.7388837391965,0.4405467797055561,0.030238465532824433,0.02453403690671132,0.1335508636374081,0.7475426957737041,28.6,29.8,9.638358739104573,9.946797248873834,0.12252659285823136,0.5415394755309195,0.023997903076916443,-0.18109645707866545,0.4261496427951282,34.5,37.2,12.382097016685512,13.893178475901957,0.20517738148723366,0.3075035729416064,0.02407899586708564,-0.09895823146704288,0.5093129944415102,27.3,30.5,12.3391694226482,14.751340305759559,0.23531411089028748,0.24230564836973084,0.024118741294960274,-0.06907240571576195,0.539700627496337,21.04,21.17,8.518790754465526,12.327011157682655,0.012269475496124987,0.9512230959359754,0.023953405394495794,-0.2910719500269119,0.3156109010191619
Broman_1,Broman et al. (2014),"The importance of framing for consumer acceptance of the smart Grid: A comparative study of Denmark, Norway, and Switzerland",2014,structure,default,artefactual_field,Energy conservation,low,medium,low,0,"You live in Switzerland. Your electricity company offers to install a smart meter with remote-control functionality at no additional cost. The meter will not be installed by default. To request installation, select “Agree” on the website.","You live in Switzerland. Your electricity company offers to install a smart meter with remote-control functionality at no additional cost. The meter will be installed by default. To decline installation, select “Do not agree” on the website.",Would you accept having a smart meter with remote control installed in your home?,"Yes (1), No (0)",945,945,473,472,1,0.47,,0.74,,0.5607,1,0.0044,0.4306906972134141,0.6907093027865858,0.94,1.0,0.23989793748209523,0.0,0.49493412634089573,0.24102816726442872,0.0043624173268479866,0.36548125260002784,0.6243870000817636,0.8,0.98,0.4040610178208844,0.1414213562373095,0.6435011087932851,0.010563656850301813,0.004451906156266696,0.5127272040076086,0.7742750135789617,0.94,1.0,0.23989793748209526,0.0,0.49493412634089573,0.24102816726442872,0.0043624173268479866,0.36548125260002784,0.6243870000817636,0.94,1.0,0.23989793748209526,0.0,0.49493412634089573,0.24102816726442872,0.0043624173268479866,0.36548125260002784,0.6243870000817636,0.8,0.98,0.4040610178208843,0.1414213562373094,0.6435011087932851,0.010563656850301813,0.004451906156266696,0.5127272040076086,0.7742750135789617,0.94,1.0,0.23989793748209523,0.0,0.49493412634089573,0.24102816726442872,0.0043624173268479866,0.36548125260002784,0.6243870000817636
Broman_2,Broman et al. (2014),"The importance of framing for consumer acceptance of the smart Grid: A comparative study of Denmark, Norway, and Switzerland",2014,structure,default,artefactual_field,Energy conservation,low,medium,low,0,"You live in Denmark. Your electricity company can install a smart meter with remote-control functionality in your home at no additional cost. On a survey page, the decision is framed as the statement: “Yes, I agree to have a smart meter with remote control installed in my home.”","You live in Denmark. Your electricity company can install a smart meter with remote-control functionality in your home at no additional cost. On a survey page, the decision is framed as the statement: “No, I would not like to have a smart meter with remote control installed in my home.”",What is your decision about the installation?,Have the smart meter installed (1); Do not have it installed (0),956,956,478,478,1,0.6,,0.79,,0.4174,1,0.0043,0.288876566615326,0.545923433384674,1.0,1.0,0.0,0.0,0.0,1.0,0.0041841004184100415,-0.1267795309147783,0.1267795309147783,1.0,0.32,0.0,0.47121207149916117,-1.9390642202315365,3.253722898653215e-12,0.00615061195093208,-2.0927760367310326,-1.7853524037320405,1.0,1.0,0.0,0.0,0.0,1.0,0.0041841004184100415,-0.1267795309147783,0.1267795309147783,1.0,1.0,0.0,0.0,0.0,1.0,0.0041841004184100415,-0.1267795309147783,0.1267795309147783,0.98,0.76,0.14142135623730942,0.4314191105869,-0.7401512668906256,0.0029441944936099062,0.004470619193451777,-0.8711997294327317,-0.6091028043485195,1.0,0.98,0.0,0.14142135623730934,-0.28379410920832715,1.0,0.004226223376789407,-0.4112102112872692,-0.1563780071293851
Broman_3,Broman et al. (2014),"The importance of framing for consumer acceptance of the smart Grid: A comparative study of Denmark, Norway, and Switzerland",2014,structure,default,artefactual_field,Energy conservation,low,medium,low,0,"You live in Norway. Your electricity company offers to install a smart meter with remote-control functionality at no additional cost. The meter will not be installed by default. To request installation, select “Agree” on the website.","You live in Norway. Your electricity company offers to install a smart meter with remote-control functionality at no additional cost. The meter will be installed by default. To decline installation, select “Do not agree” on the website.",Would you accept having a smart meter with remote control installed in your home?,"Yes (1), No (0)",901,901,451,450,1,0.58,,0.76,,0.3862,1,0.0045,0.2547216189135127,0.5176783810864872,0.98,1.0,0.14142135623730942,0.0,0.28379410920832715,1.0,0.004484211404586764,0.15254658178778097,0.41504163662887333,0.92,0.98,0.2740475156178699,0.1414213562373095,0.2897189952147694,0.3587953578869416,0.004486097087032329,0.15844387485500527,0.42099411557453353,0.98,1.0,0.14142135623730936,0.0,0.28379410920832715,1.0,0.004484211404586764,0.15254658178778097,0.41504163662887333,0.98,1.0,0.14142135623730948,0.0,0.28379410920832715,1.0,0.004484211404586764,0.15254658178778097,0.41504163662887333,0.94,1.0,0.2398979374820953,0.0,0.49493412634089573,0.24102816726442872,0.004575454852419993,0.3623580296963025,0.627510222985489,0.98,1.0,0.1414213562373095,0.0,0.28379410920832715,1.0,0.004484211404586764,0.15254658178778097,0.41504163662887333
Bruns_1,Bruns et al. (2018),Can nudges be transparent and yet effective?,2018,structure,default,conventional_lab,Green transportation,low,high,medium,1,You receive €10 in a decision-making experiment. You decide how much of it to contribute to a climate protection fund; the remainder stays with you. An actual organization will use the contribution to retire carbon-emission allowances. The screen contains an empty amount field in which you can enter any whole-euro contribution from €0 to €10.,You receive €10 in a decision-making experiment. You decide how much of it to contribute to a climate protection fund; the remainder stays with you. An actual organization will use the contribution to retire carbon-emission allowances. The screen offers a one-click “Contribute €8” button and a “Different amount” button that opens a field for any whole-euro contribution from €0 to €10.,"Using the screen described, what whole-euro contribution would you submit?",Enter one whole number from 0 to 10.,256,256,85,171,0,1.82,2.66,2.95,2.98,0.3926,1,0.0179,0.1303746905990483,0.6548253094009517,3.5,6.7,0.8144110179279557,1.7525491637693278,2.341733513232139,4.47355796711637e-18,0.028323041612388414,2.0118823376532182,2.67158468881106,4.42,4.52,1.2631350696111767,1.249326349090026,0.0796020101548353,0.69148859689963,0.01762503503626762,-0.18060146081569817,0.3398054811253688,3.62,3.72,1.0669429914193052,1.26232697339283,0.08556331998688257,0.6697493265304402,0.017626958086475603,-0.17465434586864184,0.345780985842407,3.74,4.06,1.2422822972748382,2.2534327555251052,0.1758716425947286,0.38196944320885506,0.01767307088519004,-0.0846861706457609,0.4364294558352181,3.08,4.54,1.4405214475377752,2.4678338845296404,0.7225728144152442,0.0005308625192792407,0.018632408067734956,0.4550365957035101,0.9901090331269784,4.06,4.56,1.331103577748132,1.6056024363688133,0.3390397049814494,0.09332196048224539,0.017837166758012186,0.07727503666512003,0.6008043732977788
Camilleri_1,Camilleri & Larrick (2014),Metric and scale design as choice architecture tools,2014,information,translation,artefactual_field,Other,high,low,low,1,"You are choosing one of two vehicles to purchase and gasoline costs $4.00 per gallon. The display shows: Vehicle A—price $18,000; fuel consumption 5.0 gallons per 100 miles. Vehicle B—price $21,000; fuel consumption 4.0 gallons per 100 miles.","You are choosing one of two vehicles to purchase and gasoline costs $4.00 per gallon. The display shows: Vehicle A—price $18,000; fuel cost $20 per 100 miles. Vehicle B—price $21,000; fuel cost $16 per 100 miles.",Which vehicle would you purchase?,Vehicle B (1); Vehicle A (0),424,282,141,141,1,0.587,,0.751,,0.351,1,0.0144,0.1158043218551935,0.5861956781448064,0.12,0.06,0.32826072265931605,0.23989793748209529,-0.21254908543844742,0.4846416787883141,0.014264498428582838,-0.4466355722574371,0.021537401380542276,0.44,0.78,0.501426536422407,0.4184519575964802,0.7146756823958502,0.0010367122336895937,0.015090002359943216,0.47391101997650964,0.9554403448151908,0.02,0.08,0.14142135623730934,0.2740475156178699,0.28971899521476896,0.3587953578869416,0.014333221801752226,0.05506929604746463,0.5243686943820733,0.14,0.08,0.3505098327538656,0.2740475156178698,-0.1934809034387699,0.522691028989605,0.014250771028360785,-0.4274547269075264,0.040492920029986584,0.38,0.34,0.49031435147801455,0.4785181206984064,-0.08336363625566667,0.834968706358955,0.014196718964272636,-0.31689331593304876,0.1501660434217154,0.12,0.04,0.32826072265931605,0.1979486637221575,-0.30476737019868133,0.2688067435476623,0.014349083599180532,-0.5395468704983231,-0.06998786989903963
